i,j,Transport,Transport_july,Transport_May
Indiana,Pennsylvania,0.205708,0.174736,0.104181
Indiana,Arizona,0.521601,0.443068,0.264165
Indiana,Rhode Island,0.277493,0.235713,0.140536
Indiana,Maine,0.305014,0.25909,0.154474
Indiana,Washington,0.658497,0.559352,0.333496
Indiana,Utah,0.474417,0.402987,0.240268
Indiana,Missouri,0.0800862,0.0680282,0.0405596
Wyoming,Alaska,0.0316942,0.0093233,0.0063749
Wyoming,Tennessee,0.0210156,0.006182,0.004227
Wyoming,West Virginia,0.0238222,0.0070076,0.0047915
Wyoming,New Jersey,0.0286974,0.0084417,0.0057721
Wyoming,South Dakota,0.0107498,0.0031622,0.0021622
Wyoming,Virginia,0.0267763,0.0078766,0.0053857
Wyoming,Kansas,0.0124174,0.0036527,0.0024976
Wyoming,Mississippi,0.0209495,0.0061626,0.0042137
Wyoming,New York,0.0290128,0.0085345,0.0058356
Wyoming,Nevada,0.0088163,0.0025935,0.0017733
Wyoming,California,0.0121117,0.0035628,0.0024361
Wyoming,Florida,0.0297143,0.0087409,0.0059767
Wyoming,Minnesota,0.0133877,0.0039382,0.0026928
Wyoming,Louisiana,0.0225339,0.0066287,0.0045324
Wyoming,Oklahoma,0.0138346,0.0040696,0.0027827
Wyoming,Oregon,0.0092218,0.0027127,0.0018549
Wyoming,Pennsylvania,0.0281449,0.0082792,0.005661
Wyoming,Arizona,0.0109394,0.003218,0.0022003
Wyoming,Maine,0.0308382,0.0090715,0.0062027
Wyoming,Washington,0.0095522,0.0028099,0.0019213
Wyoming,Utah,0.0031672,0.0009317,0.000637
Wyoming,Missouri,0.0169872,0.004997,0.0034168
Mississippi,Tennessee,0.104014,0.111814,0.0604689
Mississippi,West Virginia,0.201422,0.216526,0.117097
Mississippi,District of Columbia,0.272059,0.29246,0.158162
Mississippi,New Jersey,0.333669,0.358691,0.19398
Mississippi,Virginia,0.266825,0.286834,0.15512
Mississippi,Kansas,0.176356,0.18958,0.102525
Mississippi,New York,0.338794,0.3642,0.196959
Mississippi,Nevada,0.458509,0.492891,0.266555
Mississippi,California,0.517438,0.55624,0.300814
Mississippi,Florida,0.186329,0.200302,0.108323
Mississippi,New Hampshire,0.396761,0.426513,0.230658
Mississippi,Minnesota,0.28242,0.303598,0.164185
Mississippi,Louisiana,0.0509661,0.0547879,0.0296292
Mississippi,Oklahoma,0.152266,0.163685,0.0885204
Mississippi,Oregon,0.619459,0.665911,0.360124
Mississippi,Pennsylvania,0.30936,0.332559,0.179847
Mississippi,Arizona,0.402314,0.432482,0.233886
Mississippi,Maine,0.420188,0.451697,0.244277
Mississippi,Utah,0.425072,0.456947,0.247116
Mississippi,Missouri,0.14216,0.152821,0.0826453
New York,Alaska,2.2171299,3.8747101,7.19627
New York,Tennessee,0.47148,0.82397,1.53031
New York,West Virginia,0.274348,0.479457,0.890466
New York,District of Columbia,0.131559,0.229917,0.42701
New York,New Jersey,0.0127892,0.0223508,0.0415108
New York,Virginia,0.140679,0.245855,0.456611
New York,Kansas,0.788537,1.37807,2.5594001
New York,Nevada,1.38179,2.41485,4.4849501
New York,California,1.52171,2.65938,4.9391098
New York,Florida,0.587265,1.02632,1.9061199
New York,New Hampshire,0.123705,0.21619,0.401517
New York,Minnesota,0.634807,1.1094,2.06043
New York,Louisiana,0.731321,1.27807,2.3736899
New York,Oklahoma,0.826818,1.44497,2.68365
New York,Oregon,1.5201,2.6565599,4.9338698
New York,Pennsylvania,0.057898,0.101184,0.187923
New York,Arizona,1.32418,2.3141699,4.2979698
New York,Rhode Island,0.089071,0.155663,0.289103
New York,Maine,0.169682,0.29654,0.550746
New York,Washington,1.5042599,2.62888,4.8824601
New York,Utah,1.22438,2.13976,3.97405
New York,Missouri,0.54838,0.958363,1.77991
Nevada,Alaska,0.359854,0.3758,0.135648
Nevada,Tennessee,0.243665,0.254463,0.0918504
Nevada,West Virginia,0.283551,0.296116,0.106885
Nevada,District of Columbia,0.320684,0.334895,0.120883
Nevada,New Jersey,0.342252,0.357418,0.129013
Nevada,Virginia,0.31714,0.331193,0.119547
Nevada,Kansas,0.151388,0.158096,0.0570661
Nevada,Florida,0.314351,0.328281,0.118496
Nevada,Minnesota,0.200591,0.209479,0.0756133
Nevada,Oklahoma,0.151451,0.158162,0.0570899
Nevada,Oregon,0.118581,0.123835,0.0446994
Nevada,Pennsylvania,0.334294,0.349107,0.126013
Nevada,Arizona,0.0395593,0.0413123,0.014912
Nevada,Rhode Island,0.36345,0.379555,0.137004
Nevada,Maine,0.371288,0.387741,0.139958
Nevada,Washington,0.134744,0.140714,0.050792
Nevada,Utah,0.0572487,0.0597855,0.0215801
California,Alaska,3.6556699,4.1591601,4.7318401
California,Tennessee,2.7693,3.1507101,3.5845301
California,District of Columbia,3.5604801,4.0508599,4.6086302
California,New Jersey,3.7839999,4.3051701,4.8979502
California,Virginia,3.5251901,4.0107098,4.5629501
California,Kansas,1.85408,2.1094401,2.3998899
California,Nevada,0.366469,0.416943,0.474352
California,Florida,3.43136,3.90396,4.4415002
California,New Hampshire,3.99559,4.5458999,5.1718302
California,Minnesota,2.37797,2.7054801,3.0780001
California,Louisiana,2.5826001,2.9382999,3.34288
California,Oklahoma,1.82968,2.0816801,2.36831
California,Oregon,1.30374,1.4833,1.6875401
California,Pennsylvania,3.7012601,4.21103,4.7908502
California,Arizona,0.571154,0.649818,0.739292
California,Rhode Island,3.9999599,4.5508699,5.1774802
California,Maine,4.0831599,4.6455202,5.2851701
California,Washington,1.49058,1.69587,1.9293801
California,Utah,0.918847,1.0454,1.18934
Arkansas,Alaska,0.941045,0.788469,0.268425
Arkansas,Georgia,0.132888,0.111343,0.0379053
Arkansas,Connecticut,0.343601,0.287891,0.0980092
Arkansas,Alabama,0.0950367,0.079628,0.0271084
Arkansas,Tennessee,0.0960795,0.0805017,0.0274059
Arkansas,Idaho,0.417475,0.349788,0.119081
Arkansas,Massachusetts,0.370373,0.310322,0.105646
Arkansas,Vermont,0.358224,0.300144,0.10218
Arkansas,Maryland,0.267825,0.224401,0.0763948
Arkansas,Montana,0.369883,0.309912,0.105506
Arkansas,South Carolina,0.208978,0.175096,0.0596093
Arkansas,Ohio,0.215075,0.180204,0.0613482
Arkansas,North Carolina,0.187818,0.157366,0.0535734
Arkansas,West Virginia,0.188614,0.158033,0.0538006
Arkansas,Kentucky,0.151339,0.126801,0.043168
Arkansas,District of Columbia,0.260495,0.21826,0.0743041
Arkansas,Colorado,0.226672,0.189921,0.0646563
Arkansas,Texas,0.0895505,0.0750313,0.0255435
Arkansas,Iowa,0.141897,0.11889,0.0404749
Arkansas,Michigan,0.20852,0.174712,0.0594785
Arkansas,New Jersey,0.313957,0.263054,0.0895536
Arkansas,North Dakota,0.259975,0.217824,0.0741557
Arkansas,South Dakota,0.195412,0.163729,0.0557395
Arkansas,Hawaii,1.19497,1.00123,0.340856
Arkansas,Virginia,0.254606,0.213326,0.0726243
Arkansas,Kansas,0.104295,0.0873854,0.0297493
Arkansas,Indiana,0.140331,0.117579,0.0400284
Arkansas,Wyoming,0.342841,0.287255,0.0977925
Arkansas,Mississippi,0.0615389,0.0515614,0.0175535
Arkansas,New York,0.319377,0.267595,0.0910996
Arkansas,Nevada,0.379342,0.317838,0.108204
Arkansas,California,0.438075,0.367048,0.124957
Arkansas,Florida,0.228969,0.191845,0.0653115
Arkansas,New Hampshire,0.368236,0.308532,0.105036
Arkansas,Wisconsin,0.182323,0.152762,0.052006
Arkansas,Minnesota,0.209283,0.175351,0.0596961
Arkansas,Louisiana,0.1027,0.0860492,0.0292944
Arkansas,Oklahoma,0.0903563,0.0757065,0.0257734
Arkansas,Nebraska,0.147419,0.123517,0.04205
Arkansas,Illinois,0.164191,0.13757,0.0468341
Arkansas,Oregon,0.518382,0.434335,0.147864
Arkansas,Pennsylvania,0.293193,0.245657,0.0836309
Arkansas,Arizona,0.333427,0.279367,0.0951074
Arkansas,Rhode Island,0.360424,0.301987,0.102808
Arkansas,Maine,0.389093,0.326008,0.110986
Arkansas,Washington,0.52631,0.440977,0.150125
Arkansas,Utah,0.339572,0.284516,0.0968601
Arkansas,Missouri,0.088025,0.0737531,0.0251084
Florida,Alaska,4.28478,5.3593998,1.70577
Florida,West Virginia,0.752307,0.940985,0.299493
Florida,District of Columbia,0.832201,1.04092,0.331299
Florida,Virginia,0.830915,1.03931,0.330787
Florida,Kansas,1.2286299,1.53677,0.489118
Florida,Oklahoma,1.16322,1.45495,0.463076
Florida,Pennsylvania,0.943848,1.18056,0.375746
Florida,Arizona,2.0099599,2.51406,0.800167
Florida,Rhode Island,1.17427,1.46878,0.467477
Florida,Maine,1.3289599,1.6622601,0.529059
Florida,Washington,2.7825201,3.48037,1.10772
Florida,Utah,2.09743,2.6234701,0.834987
New Hampshire,Tennessee,0.0114523,0.0149917,0.0250773
New Hampshire,West Virginia,0.0075597,0.0098961,0.0165537
New Hampshire,District of Columbia,0.0049819,0.0065216,0.010909
New Hampshire,New Jersey,0.0025679,0.0033615,0.0056229
New Hampshire,Virginia,0.005121,0.0067037,0.0112136
New Hampshire,Kansas,0.0172295,0.0225543,0.0377277
New Hampshire,Nevada,0.0287014,0.0375718,0.0628481
New Hampshire,Florida,0.0140475,0.018389,0.0307601
New Hampshire,Minnesota,0.0133554,0.017483,0.0292446
New Hampshire,Oregon,0.0307497,0.0402531,0.0673333
New Hampshire,Pennsylvania,0.0035486,0.0046453,0.0077704
New Hampshire,Arizona,0.0277711,0.0363539,0.0608109
New Hampshire,Rhode Island,0.0010222,0.0013382,0.0022384
New Hampshire,Maine,0.0009212,0.0012059,0.0020171
New Hampshire,Utah,0.0253345,0.0331644,0.0554756
Wisconsin,Alaska,1.88034,1.06169,0.71728
Wisconsin,Georgia,0.432348,0.244116,0.164925
Wisconsin,Tennessee,0.307361,0.173545,0.117247
Wisconsin,West Virginia,0.293242,0.165573,0.111861
Wisconsin,District of Columbia,0.404922,0.228631,0.154463
Wisconsin,New Jersey,0.46194,0.260825,0.176213
Wisconsin,North Dakota,0.330855,0.18681,0.126209
Wisconsin,South Dakota,0.286093,0.161537,0.109134
Wisconsin,Hawaii,2.71016,1.5302401,1.03383
Wisconsin,Virginia,0.390471,0.220471,0.14895
Wisconsin,Kansas,0.397866,0.224646,0.151771
Wisconsin,Indiana,0.153539,0.0866923,0.0585694
Wisconsin,Wyoming,0.73416,0.414528,0.280055
Wisconsin,Mississippi,0.480463,0.271283,0.183279
Wisconsin,New York,0.475093,0.268251,0.181231
Wisconsin,Nevada,0.971053,0.548285,0.370421
Wisconsin,California,1.11961,0.632162,0.427089
Wisconsin,Florida,0.687461,0.388161,0.262242
Wisconsin,New Hampshire,0.531855,0.300301,0.202883
Wisconsin,Minnesota,0.190343,0.107473,0.0726091
Wisconsin,Louisiana,0.583194,0.329288,0.222467
Wisconsin,Oklahoma,0.472182,0.266608,0.18012
Wisconsin,Oregon,1.10121,0.621777,0.420073
Wisconsin,Pennsylvania,0.440023,0.24845,0.167853
Wisconsin,Arizona,0.932211,0.526354,0.355605
Wisconsin,Rhode Island,0.539677,0.304718,0.205867
Wisconsin,Maine,0.566067,0.319618,0.215934
Wisconsin,Washington,1.08921,0.614998,0.415493
Wisconsin,Utah,0.794822,0.44878,0.303196
Wisconsin,Missouri,0.204682,0.11557,0.0780789
Minnesota,Alaska,1.4467,1.22375,1.17417
Minnesota,Tennessee,0.382205,0.323304,0.310205
Minnesota,West Virginia,0.410055,0.346863,0.332809
Minnesota,District of Columbia,0.507827,0.429568,0.412163
Minnesota,New Jersey,0.5499,0.465157,0.44631
Minnesota,Virginia,0.495573,0.419202,0.402217
Minnesota,Kansas,0.299923,0.253703,0.243424
Minnesota,Florida,0.71976,0.608841,0.584172
Minnesota,Oklahoma,0.382542,0.32359,0.310479
Minnesota,Oregon,0.781884,0.661391,0.634593
Minnesota,Pennsylvania,0.534758,0.452348,0.43402
Minnesota,Arizona,0.697801,0.590265,0.566349
Minnesota,Rhode Island,0.609392,0.515481,0.494594
Minnesota,Maine,0.621003,0.525302,0.504018
Minnesota,Washington,0.769122,0.650595,0.624234
Minnesota,Utah,0.540685,0.457362,0.43883
Louisiana,Alaska,1.36657,1.82438,1.29696
Louisiana,Tennessee,0.183858,0.245452,0.174493
Louisiana,West Virginia,0.296361,0.395645,0.281266
Louisiana,District of Columbia,0.37662,0.502792,0.357437
Louisiana,New Jersey,0.453462,0.605377,0.430365
Louisiana,Virginia,0.371066,0.495377,0.352166
Louisiana,Kansas,0.260943,0.348362,0.247652
Louisiana,Nevada,0.580463,0.774925,0.550898
Louisiana,Florida,0.214609,0.286506,0.203678
Louisiana,New Hampshire,0.532844,0.711353,0.505704
Louisiana,Minnesota,0.407197,0.543613,0.386457
Louisiana,Oklahoma,0.220357,0.294179,0.209133
Louisiana,Oregon,0.795819,1.06243,0.755284
Louisiana,Pennsylvania,0.422852,0.564512,0.401314
Louisiana,Arizona,0.50387,0.672673,0.478206
Louisiana,Rhode Island,0.515124,0.687696,0.488886
Louisiana,Maine,0.561909,0.750155,0.533288
Louisiana,Utah,0.553832,0.739372,0.525623
Oklahoma,West Virginia,0.310703,0.201316,0.0715365
Nebraska,Alaska,2.6725399,2.64201,2.9023299
Nebraska,Georgia,0.808774,0.799535,0.878313
Nebraska,Tennessee,0.602126,0.595248,0.653897
Nebraska,Massachusetts,1.25614,1.2417901,1.36415
Nebraska,Montana,0.811338,0.80207,0.881098
Nebraska,West Virginia,0.769137,0.760351,0.835268
Nebraska,District of Columbia,0.989383,0.978081,1.07445
Nebraska,New Jersey,1.1092499,1.09658,1.20463
Nebraska,North Dakota,0.386201,0.381789,0.419407
Nebraska,South Dakota,0.16177,0.159922,0.175679
Nebraska,Hawaii,3.7646,3.7216001,4.0882902
Nebraska,Virginia,0.966471,0.955431,1.04957
Nebraska,Kansas,0.263387,0.260378,0.286033
Nebraska,Indiana,0.505841,0.500063,0.549334
Nebraska,Wyoming,0.759142,0.75047,0.824413
Nebraska,Mississippi,0.692269,0.684361,0.751791
Nebraska,New York,1.1296,1.1167001,1.22672
Nebraska,Nevada,1.07592,1.06363,1.16843
Nebraska,California,1.30361,1.28871,1.4156899
Nebraska,Florida,1.19433,1.18068,1.2970099
Nebraska,New Hampshire,1.2325,1.21842,1.33847
Nebraska,Wisconsin,0.417757,0.412985,0.453676
Nebraska,Minnesota,0.278462,0.275281,0.302404
Nebraska,Louisiana,0.834054,0.824526,0.905766
Nebraska,Oklahoma,0.415689,0.410941,0.45143
Nebraska,Oregon,1.34582,1.33044,1.46153
Nebraska,Pennsylvania,1.06457,1.05241,1.1561
Nebraska,Arizona,1.01894,1.0073,1.10655
Nebraska,Rhode Island,1.2391599,1.22501,1.34571
Nebraska,Maine,1.28704,1.27233,1.3977
Nebraska,Washington,1.34816,1.33276,1.46408
Nebraska,Utah,0.821627,0.812241,0.892272
Nebraska,Missouri,0.335697,0.331862,0.36456
Illinois,Alaska,2.7421501,2.70103,3.7418499
Illinois,Georgia,0.562072,0.553644,0.766987
Illinois,Tennessee,0.380192,0.374492,0.518799
Illinois,Massachusetts,0.793194,0.781301,1.08237
Illinois,Montana,1.09007,1.07373,1.48748
Illinois,Ohio,0.288613,0.284286,0.393834
Illinois,West Virginia,0.382573,0.376837,0.522048
Illinois,Kentucky,0.243928,0.240271,0.332857
Illinois,District of Columbia,0.560038,0.551642,0.764212
Illinois,Colorado,0.812115,0.799939,1.1081899
Illinois,Texas,0.740061,0.728965,1.0098701
Illinois,Iowa,0.273544,0.269443,0.373271
Illinois,Michigan,0.214532,0.211316,0.292745
Illinois,New Jersey,0.657576,0.647717,0.897309
Illinois,North Dakota,0.512772,0.505084,0.699714
Illinois,South Dakota,0.423913,0.417557,0.578459
Illinois,Hawaii,3.89414,3.8357601,5.3138399
Illinois,Virginia,0.53885,0.530771,0.7353
Illinois,Kansas,0.539258,0.531173,0.735856
Illinois,Indiana,0.16416,0.161699,0.224009
Illinois,Wyoming,1.06555,1.04958,1.45402
Illinois,Mississippi,0.628905,0.619476,0.858186
Illinois,New York,0.676579,0.666435,0.923241
Illinois,Nevada,1.3846999,1.36393,1.88952
Illinois,California,1.59618,1.57225,2.1781001
Illinois,Florida,0.930222,0.916275,1.2693501
Illinois,New Hampshire,0.771923,0.76035,1.05334
Illinois,Wisconsin,0.0619838,0.0610545,0.0845814
Illinois,Minnesota,0.307444,0.302834,0.419529
Illinois,Louisiana,0.776274,0.764635,1.05928
Illinois,Oklahoma,0.637482,0.627924,0.86989
Illinois,Nebraska,0.380498,0.374793,0.519217
Illinois,Oregon,1.59972,1.57574,2.18294
Illinois,Pennsylvania,0.61988,0.610586,0.84587
Illinois,Arizona,1.3188601,1.29909,1.79968
Illinois,Rhode Island,0.777043,0.765393,1.06033
Illinois,Maine,0.824667,0.812302,1.12532
Illinois,Washington,1.58684,1.56305,2.16536
Illinois,Utah,1.1431,1.12596,1.55984
Illinois,Missouri,0.238725,0.235145,0.325757
Oregon,Alaska,0.121643,0.108864,0.0496551
Oregon,West Virginia,0.166699,0.149188,0.0680473
Oregon,District of Columbia,0.182831,0.163625,0.0746326
Oregon,Virginia,0.181039,0.162022,0.0739011
Oregon,Kansas,0.109235,0.09776,0.0445902
Oregon,Oklahoma,0.115348,0.103231,0.0470856
Oregon,Rhode Island,0.197875,0.177088,0.0807734
Oregon,Maine,0.198477,0.177627,0.0810191
Oregon,Washington,0.0100462,0.0089909,0.0041009
Oregon,Utah,0.0490094,0.0438611,0.0200059
Pennsylvania,Alaska,1.17802,1.42813,1.94082
Pennsylvania,West Virginia,0.11709,0.141951,0.19291
Pennsylvania,District of Columbia,0.0393396,0.0476921,0.0648132
Pennsylvania,Virginia,0.0443522,0.0537688,0.0730714
Pennsylvania,Kansas,0.3953,0.479228,0.651268
Pennsylvania,Oklahoma,0.41395,0.501838,0.681994
Pennsylvania,Oregon,0.795306,0.964162,1.31029
Pennsylvania,Arizona,0.681338,0.825997,1.12252
Pennsylvania,Rhode Island,0.0784774,0.0951394,0.129294
Pennsylvania,Maine,0.120605,0.146212,0.198701
Pennsylvania,Washington,0.788241,0.955596,1.29865
Pennsylvania,Utah,0.63287,0.767238,1.04267
Arizona,Alaska,1.10159,1.6891299,0.39367
Arizona,West Virginia,0.734944,1.12693,0.262644
Arizona,District of Columbia,0.839727,1.2876,0.300089
Arizona,Virginia,0.830201,1.27299,0.296685
Arizona,Kansas,0.369887,0.567167,0.132185
Arizona,Oklahoma,0.353987,0.542787,0.126503
Arizona,Oregon,0.433299,0.6644,0.154846
Arizona,Rhode Island,0.967649,1.48375,0.345804
Arizona,Maine,0.995185,1.52597,0.355645
Arizona,Washington,0.475208,0.728662,0.169823
Arizona,Utah,0.218989,0.335788,0.0782592
Rhode Island,West Virginia,0.0287478,0.0369212,0.0626457
Rhode Island,Virginia,0.0182728,0.023468,0.0398192
Rhode Island,Kansas,0.0689321,0.0885305,0.150213
Rhode Island,Oklahoma,0.0723016,0.092858,0.157556
Maine,Alaska,0.0246612,0.03118,0.0478525
Maine,West Virginia,0.0047707,0.0060318,0.0092571
Maine,District of Columbia,0.0033298,0.0042099,0.0064611
Maine,Virginia,0.0034081,0.004309,0.0066131
Maine,Rhode Island,0.0009979,0.0012617,0.0019363
Maine,Washington,0.0173367,0.0219194,0.0336401
Maine,Utah,0.0146325,0.0185004,0.0283929
Washington,Alaska,0.24903,0.282197,0.227542
Washington,Virginia,0.389504,0.44138,0.355896
Washington,Kansas,0.24108,0.273189,0.220279
Washington,Oklahoma,0.256244,0.290372,0.234134
Washington,Rhode Island,0.423248,0.479619,0.386728
Utah,Alaska,0.668924,0.534302,0.265405
Utah,Virginia,0.560881,0.448003,0.222538
Utah,Kansas,0.248252,0.198291,0.0984974
Utah,Oklahoma,0.266368,0.212761,0.105685
Utah,Rhode Island,0.643615,0.514086,0.255363
Utah,Washington,0.212995,0.170129,0.0845088
Missouri,Alaska,1.0862,0.647385,0.345667
Missouri,Tennessee,0.0969727,0.0577968,0.0308602
Missouri,West Virginia,0.168249,0.100278,0.0535429
Missouri,District of Columbia,0.254245,0.151533,0.0809098
Missouri,New Jersey,0.308703,0.18399,0.0982403
Missouri,Virginia,0.246164,0.146716,0.078338
Missouri,Kansas,0.13859,0.0826009,0.0441042
Missouri,Nevada,0.48505,0.289095,0.15436
Missouri,California,0.563585,0.335903,0.179353
Missouri,Florida,0.31521,0.187869,0.100311
Missouri,New Hampshire,0.365607,0.217905,0.116349
Missouri,Minnesota,0.160815,0.0958473,0.051177
Missouri,Louisiana,0.216969,0.129316,0.0690473
Missouri,Oklahoma,0.163982,0.0977347,0.0521848
Missouri,Oregon,0.607453,0.362048,0.193313
Missouri,Pennsylvania,0.287757,0.171506,0.0915744
Missouri,Arizona,0.447079,0.266464,0.142276
Missouri,Rhode Island,0.361532,0.215477,0.115053
Missouri,Maine,0.388883,0.231778,0.123756
Missouri,Washington,0.609369,0.363191,0.193923
Missouri,Utah,0.409148,0.243857,0.130206
New Mexico,Alaska,0.299476,0.303066,0.23512
Virginia,Alaska,0.964175,1.04054,1.07377
Kansas,Alaska,0.91216,0.670735,0.486252
Oklahoma,Alaska,1.0178601,0.659511,0.234353
Rhode Island,Alaska,0.178195,0.228858,0.388314
Alaska,Georgia,0.17048,0.0682567,0
Tennessee,Georgia,0.10627,0.0934762,0.0424787
West Virginia,Georgia,0.0155568,0.0085577,0.005208
District of Columbia,Georgia,0.0076776,0.0116865,0.0188129
New Jersey,Georgia,0.192557,0.319189,0.586803
South Dakota,Georgia,1.92071,1.92071,1.92071
Hawaii,Georgia,0.0940548,0.0105032,0.0055538
Virginia,Georgia,0.146147,0.157722,0.162759
Kansas,Georgia,0.249469,0.183441,0.132986
Indiana,Georgia,0.153709,0.130566,0.0778457
Wyoming,Georgia,0.0240749,0.007082,0.0048424
Mississippi,Georgia,0.107501,0.115562,0.0624959
New York,Georgia,0.470149,0.821644,1.52599
Nevada,Georgia,0.26833,0.280221,0.101148
California,Georgia,3.0011799,3.41453,3.88468
Florida,Georgia,0.441105,0.551733,0.175604
New Hampshire,Georgia,0.0116623,0.0152666,0.0255371
Minnesota,Georgia,0.498367,0.421565,0.404484
Louisiana,Georgia,0.165135,0.220457,0.156724
Oklahoma,Georgia,0.260231,0.168613,0.0599156
Oregon,Georgia,0.16871,0.150987,0.0688682
Pennsylvania,Georgia,0.220184,0.266932,0.362759
Arizona,Georgia,0.674249,1.03386,0.240953
Rhode Island,Georgia,0.0444712,0.057115,0.0969095
Maine,Georgia,0.0070976,0.0089737,0.0137721
Washington,Georgia,0.367784,0.416767,0.336049
Utah,Georgia,0.488257,0.389994,0.193723
Missouri,Georgia,0.172893,0.103046,0.0550207
Alaska,Connecticut,0.171767,0.0687719,0
Georgia,Connecticut,0.500184,0.491801,0.267003
Tennessee,Connecticut,0.420072,0.369499,0.167913
Massachusetts,Connecticut,0.0154233,0.0250453,0.0430536
Vermont,Connecticut,0,0,0.000513
Montana,Connecticut,0.112872,0.0231956,0.0008589
South Carolina,Connecticut,0.21583,0.23508,0.0631999
Ohio,Connecticut,0.182933,0.173816,0.140424
North Carolina,Connecticut,0.266996,0.26048,0.12572
West Virginia,Connecticut,0.0225412,0.0123998,0.0075462
Kentucky,Connecticut,0.151386,0.0967922,0.0640197
District of Columbia,Connecticut,0.0043977,0.0066941,0.0107761
Colorado,Connecticut,0.348511,0.351274,0.412626
Texas,Connecticut,2.94258,2.94258,2.94258
Iowa,Connecticut,1.7108999,1.5623699,1.38731
Michigan,Connecticut,0.217534,0.231332,0.304327
New Jersey,Connecticut,0.0299282,0.0496099,0.0912038
North Dakota,Connecticut,0.20045,0.0610658,0.0523438
South Dakota,Connecticut,2.45135,2.45135,2.45135
Hawaii,Connecticut,0.104711,0.0116932,0.0061831
Virginia,Connecticut,0.0889947,0.0960433,0.0991103
Kansas,Connecticut,0.428863,0.315354,0.228617
Indiana,Connecticut,0.255432,0.216974,0.129363
Wyoming,Connecticut,0.0294653,0.0086676,0.0059266
Mississippi,Connecticut,0.368365,0.395988,0.21415
New York,Connecticut,0.0660776,0.115479,0.214472
Nevada,Connecticut,0.353312,0.368968,0.133182
California,Connecticut,3.89871,4.4356799,5.0464301
Florida,Connecticut,1.15014,1.4385999,0.457872
New Hampshire,Connecticut,0.0011489,0.0015039,0.0025157
Wisconsin,Connecticut,0.497197,0.280732,0.189663
Minnesota,Connecticut,0.573232,0.484893,0.465246
Louisiana,Connecticut,0.497223,0.663799,0.471898
Oklahoma,Connecticut,0.484494,0.313922,0.11155
Nebraska,Connecticut,1.1743,1.16088,1.27526
Illinois,Connecticut,0.716451,0.705709,0.977648
Oregon,Connecticut,0.192756,0.172508,0.078684
Pennsylvania,Connecticut,0.0647894,0.0785451,0.106742
Arizona,Connecticut,0.940291,1.4418,0.336027
Rhode Island,Connecticut,0.0032675,0.0041965,0.0071204
Maine,Connecticut,0.0011664,0.0014747,0.0022632
Utah,Connecticut,0.623123,0.497719,0.247233
Missouri,Connecticut,0.339241,0.202191,0.107959
Alaska,Alabama,0.166481,0.0666556,0
Georgia,Alabama,0.077636,0.0763348,0.0414428
Connecticut,Alabama,0.0822119,0.126498,0.225649
Tennessee,Alabama,0.0882796,0.0776516,0.0352875
Idaho,Alabama,0.423027,0.306292,0.0772646
Massachusetts,Alabama,0.178313,0.289556,0.497756
Vermont,Alabama,0,0,0.0030302
Montana,Alabama,0.0903584,0.018569,0.0006875
South Carolina,Alabama,0.112626,0.122671,0.0329795
Ohio,Alabama,0.235522,0.223784,0.180793
North Carolina,Alabama,0.144576,0.141048,0.0680764
West Virginia,Alabama,0.018767,0.0103237,0.0062827
Kentucky,Alabama,0.0918851,0.058749,0.0388574
District of Columbia,Alabama,0.0091497,0.0139273,0.0224202
Colorado,Alabama,0.22605,0.227842,0.267636
Texas,Alabama,1.19346,1.19346,1.19346
Iowa,Alabama,1.06595,0.973413,0.864346
Michigan,Alabama,0.251203,0.267137,0.35143
New Jersey,Alabama,0.219109,0.363202,0.667717
North Dakota,Alabama,0.172833,0.0526524,0.045132
South Dakota,Alabama,1.76639,1.76639,1.76639
Hawaii,Alabama,0.0913466,0.0102008,0.0053939
Virginia,Alabama,0.174123,0.187914,0.193915
Kansas,Alabama,0.211987,0.155879,0.113005
Indiana,Alabama,0.151451,0.128648,0.0767025
Wyoming,Alabama,0.0224363,0.0066,0.0045128
Mississippi,Alabama,0.0668413,0.0718536,0.0388584
New York,Alabama,0.534729,0.934505,1.7356
Nevada,Alabama,0.248581,0.259597,0.0937036
California,Alabama,2.7992201,3.1847601,3.62327
Florida,Alabama,0.522624,0.653698,0.208057
New Hampshire,Alabama,0.0128673,0.016844,0.0281758
Wisconsin,Alabama,0.420633,0.237502,0.160456
Minnesota,Alabama,0.47008,0.397638,0.381526
Louisiana,Alabama,0.124988,0.166861,0.118622
Oklahoma,Alabama,0.216119,0.140032,0.0497594
Nebraska,Alabama,0.722666,0.714411,0.784801
Illinois,Alabama,0.542463,0.53433,0.74023
Oregon,Alabama,0.160317,0.143476,0.0654422
Pennsylvania,Alabama,0.254716,0.308796,0.419652
Arizona,Alabama,0.618036,0.947668,0.220865
Rhode Island,Alabama,0.0496203,0.0637281,0.10813
Maine,Alabama,0.0077732,0.009828,0.0150832
Washington,Alabama,0.350438,0.397111,0.3202
Utah,Alabama,0.452266,0.361247,0.179443
Missouri,Alabama,0.147289,0.0877861,0.0468728
Alaska,Tennessee,0.160114,0.0641062,0
West Virginia,Tennessee,0.0135787,0.0074696,0.0045458
District of Columbia,Tennessee,0.0078355,0.0119269,0.0191998
New Jersey,Tennessee,0.192147,0.318509,0.585554
Virginia,Tennessee,0.147447,0.159125,0.164207
Kansas,Tennessee,0.192523,0.141567,0.10263
